title,link,star,time,score
春光乍泄,http://maoyan.com/films/1597,"
主演：张国荣,梁朝伟,张震
",1997-05-30(中国香港),9.2
美丽人生,http://maoyan.com/films/1303,"
主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼
",1997-12-20(意大利),9.3
加勒比海盗,http://maoyan.com/films/5880,"
主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆
",2003-11-21,8.9
魂断蓝桥,http://maoyan.com/films/2760,"
主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森
",1940-05-17(美国),9.2
喜剧之王,http://maoyan.com/films/9025,"
主演：周星驰,莫文蔚,张柏芝
",1999-02-13(中国香港),9.2
天空之城,http://maoyan.com/films/1228,"
主演：寺田农,鹫尾真知子,龟山助清
",1992,9.1
大闹天宫,http://maoyan.com/films/14556,"
主演：邱岳峰,毕克,富润生
",1965-12-31,9.0
剪刀手爱德华,http://maoyan.com/films/513,"
主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特
",1990-12-06(美国),8.8
海上钢琴师,http://maoyan.com/films/1292,"
主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩
",1998-10-28(意大利),9.2
终结者2,http://maoyan.com/films/1250,"
主演：阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆
",1991-07-01(美国),8.9
英雄本色,http://maoyan.com/films/313,"
主演：张国荣,周润发,狄龙
",1986-08-02(中国香港),9.2
蝙蝠侠：黑暗骑士,http://maoyan.com/films/790,"
主演：克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特
",2008-07-18(美国),9.3
狮子王,http://maoyan.com/films/592,"
主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯
",1995-07-15,9.0
指环王3：王者无敌,http://maoyan.com/films/428,"
主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒
",2004-03-15,9.2
射雕英雄传之东成西就,http://maoyan.com/films/13824,"
主演：张国荣,林青霞,梁朝伟
",1993-02-05(中国香港),8.9
指环王1：护戒使者,http://maoyan.com/films/1220,"
主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒
",2002-04-04,9.1
无间道,http://maoyan.com/films/224973,"
主演：刘德华,梁朝伟,黄秋生
",2003-09-05,9.1
楚门的世界,http://maoyan.com/films/1304,"
主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇
",1998-06-01(美国),8.9
辛德勒的名单,http://maoyan.com/films/3667,"
主演：连姆·尼森,拉尔夫·费因斯,本·金斯利
",1993-12-15(美国),9.2
霸王别姬,http://maoyan.com/films/1203,"
主演：张国荣,张丰毅,巩俐
",1993-01-01(中国香港),9.6
黑客帝国,http://maoyan.com/films/1249,"
主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩
",2000-01-14,9.0
哈利·波特与魔法石,http://maoyan.com/films/3606,"
主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森
",2002-01-26,9.1
指环王2：双塔奇兵,http://maoyan.com/films/1221,"
主演：伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒
",2003-04-25,9.1
乱世佳人,http://maoyan.com/films/7431,"
主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰
",1939-12-15(美国),9.1
肖申克的救赎,http://maoyan.com/films/1297,"
主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿
",1994-10-14(美国),9.5
这个杀手不太冷,http://maoyan.com/films/4055,"
主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼
",1994-09-14(法国),9.5
音乐之声,http://maoyan.com/films/3103,"
主演：朱丽·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克
",1965-03-02(美国),9.0
机器人总动员,http://maoyan.com/films/488,"
主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林
",2008-06-27(美国),9.3
罗马假日,http://maoyan.com/films/2641,"
主演：格利高利·派克,奥黛丽·赫本,埃迪·艾伯特
",1953-09-02(美国),9.1
活着,http://maoyan.com/films/1375,"
主演：葛优,巩俐,牛犇
",1994-05-18(法国),9.0
阿甘正传,http://maoyan.com/films/1633,"
主演：汤姆·汉克斯,罗宾·怀特,加里·西尼斯
",1994-07-06(美国),9.4
拯救大兵瑞恩,http://maoyan.com/films/733,"
主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔
",1998-07-24(美国),8.9
泰坦尼克号,http://maoyan.com/films/267,"
主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩
",1998-04-03,9.5
教父2,http://maoyan.com/films/6641,"
主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿
",1974-12-12(美国),9.0
龙猫,http://maoyan.com/films/123,"
主演：日高法子,坂本千夏,糸井重里
",1988-04-16(日本),9.2
哈尔的移动城堡,http://maoyan.com/films/225980,"
主演：倍赏千惠子,木村拓哉,美轮明宏
",2004-11-20(日本),9.0
教父,http://maoyan.com/films/1247,"
主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩
",1972-03-24(美国),9.3
天堂电影院,http://maoyan.com/films/718,"
主演：菲利浦·诺瓦雷,塞吉·卡斯特里图,蒂兹亚娜·罗达托
",1988-11-17(意大利),9.2
唐伯虎点秋香,http://maoyan.com/films/837,"
主演：周星驰,巩俐,郑佩佩
",1993-07-01(中国香港),9.2
千与千寻,http://maoyan.com/films/1212,"
主演：柊瑠美,入野自由,夏木真理
",2001-07-20(日本),9.3
黑客帝国3：矩阵革命,http://maoyan.com/films/9053,"
主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯
",2003-11-05,8.8
驯龙高手,http://maoyan.com/films/330,"
主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉
",2010-05-14,9.0
飞屋环游记,http://maoyan.com/films/614,"
主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森
",2009-08-04,8.9
三傻大闹宝莱坞,http://maoyan.com/films/43,"
主演：阿米尔·汗,黄渤,卡琳娜·卡普
",2011-12-08,9.1
神偷奶爸,http://maoyan.com/films/491,"
主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德
",2010-07-09(美国),9.0
断背山,http://maoyan.com/films/14652,"
主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯
",2006-01-13(美国),9.0
少年派的奇幻漂流,http://maoyan.com/films/995,"
主演：苏拉·沙玛,伊尔凡·可汗,塔布
",2012-11-22,9.1
忠犬八公的故事,http://maoyan.com/films/38286,"
主演：Forest,理查·基尔,琼·艾伦
",2010-03-12(英国),9.3
盗梦空间,http://maoyan.com/films/416,"
主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特
",2010-09-01,9.2
搏击俱乐部,http://maoyan.com/films/1291,"
主演：爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特
",1999-10-15(美国),8.8
本杰明·巴顿奇事,http://maoyan.com/films/18318,"
主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森
",2008-12-25(美国),8.8
哈利·波特与死亡圣器（下）,http://maoyan.com/films/916,"
主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森
",2011-08-04,9.0
大话西游之大圣娶亲,http://maoyan.com/films/158,"
主演：周星驰,朱茵,罗家英
",2014-10-24,9.4
倩女幽魂,http://maoyan.com/films/5430,"
主演：张国荣,王祖贤,午马
",2011-04-30,9.1
初恋这件小事,http://maoyan.com/films/263,"
主演：马里奥·毛瑞尔,阿查拉那·阿瑞亚卫考,平采娜·乐维瑟派布恩
",2012-06-05,8.8
熔炉,http://maoyan.com/films/67214,"
主演：孔刘,郑有美,金智英
",2011-09-22(韩国),8.8
疯狂原始人,http://maoyan.com/films/78099,"
主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹
",2013-04-20,9.5
阿凡达,http://maoyan.com/films/243,"
主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹
",2010-01-04,9.0
甜蜜蜜,http://maoyan.com/films/784,"
主演：黎明,张曼玉,曾志伟
",2015-02-13,9.2
幽灵公主,http://maoyan.com/films/5357,"
主演：松田洋治,石田百合子,田中裕子
",1997-07-12(日本),8.9
大话西游之月光宝盒,http://maoyan.com/films/6823,"
主演：周星驰,莫文蔚,吴孟达
",2014-10-24,9.2
致命魔术,http://maoyan.com/films/20131,"
主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩
",2006-10-20(美国),8.8
速度与激情5,http://maoyan.com/films/364,"
主演：范·迪塞尔,保罗·沃克,道恩·强森
",2011-05-12,9.2
触不可及,http://maoyan.com/films/70976,"
主演：弗朗索瓦·克鲁塞,奥马·希,安乐妮
",2011-11-02(法国),9.1
怦然心动,http://maoyan.com/films/46818,"
主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因
",2010-08-06(美国),8.9
风之谷,http://maoyan.com/films/1230,"
主演：岛本须美,永井一郎,坂本千夏
",1992,8.9
十二怒汉,http://maoyan.com/films/2049,"
主演：亨利·方达,李·科布,马丁·鲍尔萨姆
",1957-04-13(美国),9.1
素媛,http://maoyan.com/films/78538,"
主演：李甄,薛景求,严智媛
",2013-10-02(韩国),9.1
放牛班的春天,http://maoyan.com/films/1205,"
主演：杰拉尔·朱诺,尚-巴堤·莫里耶,玛丽·布奈尔
",2004-10-16,8.9
V字仇杀队,http://maoyan.com/films/13636,"
主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞
",2006-03-17(美国),8.8
假如爱有天意,http://maoyan.com/films/10193,"
主演：孙艺珍,曹承佑,赵寅成
",2003-09-19,9.0
谍影重重2,http://maoyan.com/films/228924,"
主演：马特·达蒙,弗兰卡·波坦特,布莱恩·考克斯
",2004-11-14,8.9
鬼子来了,http://maoyan.com/films/1262,"
主演：姜文,姜宏波,陈强
",2000-05-12(法国戛纳),8.9
当幸福来敲门,http://maoyan.com/films/899,"
主演：威尔·史密斯,贾登·史密斯,桑迪·牛顿
",2008-01-17,8.9
谍影重重3,http://maoyan.com/films/447,"
主演：马特·达蒙,朱丽娅·斯蒂尔斯,帕迪·康斯戴恩
",2007-11-15,9.0
东邪西毒,http://maoyan.com/films/1355,"
主演：张国荣,林青霞,梁朝伟
",1994-09-17,8.9
美国往事,http://maoyan.com/films/1332,"
主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文
",1984-02-17(美国),9.1
蝙蝠侠：黑暗骑士崛起,http://maoyan.com/films/676,"
主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼
",2012-08-27,8.9
无敌破坏王,http://maoyan.com/films/965,"
主演：约翰·C·赖利,萨拉·丝沃曼,简·林奇
",2012-11-06,9.0
新龙门客栈,http://maoyan.com/films/94,"
主演：张曼玉,林青霞,梁家辉
",2012-02-24,8.8
摩登时代,http://maoyan.com/films/3076,"
主演：查理·卓别林,宝莲·高黛,切斯特·康克林
",1936-02-25(美国),8.9
七武士,http://maoyan.com/films/3867,"
主演：三船敏郎,志村乔,千秋实
",1954-04-26(日本),9.1
完美的世界,http://maoyan.com/films/7971,"
主演：凯文·科斯特纳,克林特·伊斯特伍德,T.J.劳瑟
",1993-11-24(美国),8.9
一一,http://maoyan.com/films/1383,"
主演：吴念真,金燕玲,李凯莉
",2000-09-20(法国),8.9
萤火之森,http://maoyan.com/films/68213,"
主演：内山昂辉,佐仓绫音,HirokiGotô
",2011-09-17(日本),9.0
海洋,http://maoyan.com/films/168,"
主演：雅克·贝汉,姜文,兰斯洛特·贝汉
",2011-08-12,9.0
时空恋旅人,http://maoyan.com/films/78312,"
主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊
",2013-09-04(英国),8.9
城市之光,http://maoyan.com/films/2707,"
主演：查理·卓别林,弗吉尼亚·切瑞尔,亨利·伯格曼
",1931-01-30(美国),9.2
控方证人,http://maoyan.com/films/4430,"
主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿
",1958-02-06(美国),9.4
爱·回家,http://maoyan.com/films/6796,"
主演：俞承豪,金艺芬,童孝熙
",2002-04-05(韩国),9.0
海豚湾,http://maoyan.com/films/48465,"
主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯
",2009-07-31(美国),8.9
东京物语,http://maoyan.com/films/1218,"
主演：笠智众,原节子,杉村春子
",1953-11-03(日本),9.1
7号房的礼物,http://maoyan.com/films/249294,"
主演：柳承龙,郑进永,朴信惠
",2013-01-23(韩国),8.9
我爱你,http://maoyan.com/films/67163,"
主演：宋在河,李彩恩,吉海延
",2011-02-17(韩国),9.0
穿条纹睡衣的男孩,http://maoyan.com/films/38099,"
主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯
",2008-09-12(英国),9.0
迁徙的鸟,http://maoyan.com/films/1346,"
主演：雅克·贝汉,菲利普·拉波洛,PhilippeLabro
",2001-12-12(法国),9.1
窃听风暴,http://maoyan.com/films/23127,"
主演：乌尔里希·穆埃,赛巴斯汀‧柯赫,马蒂娜·戈黛特
",2006-03-23(德国),9.0
忠犬八公物语,http://maoyan.com/films/25310,"
主演：仲代达矢,春川真澄,井川比佐志
",1987-08-01(日本),9.0
上帝之城,http://maoyan.com/films/1309,"
主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱昂德罗·弗米诺
",2002-08-30(巴西),8.9
小鞋子,http://maoyan.com/films/9426,"
主演：默罕默德·阿米尔·纳吉,KamalMirkarimi,BehzadRafi
",1999-01-22(美国),9.1
